Amplitude,Width,CharacterType,CharacterStructure
400,＆,CSymbol,CSymbol
200,之,ha2easy,ha2Top_bottom
400,如,ha2middle,ha2Left_right
50,宜,ha2middle,ha2Top_bottom
800,＠,CSymbol,CSymbol
50,橘,ha2difficult,ha2Left_right
200,人,ha2easy,ha2Left_right
600,M,CLetter,CLetter
50,,ha2difficult,ha2mixture
800,人,ha2easy,ha2Left_right
400,宜,ha2middle,ha2Top_bottom
1000,M,CLetter,CLetter
200,B,CLetter,CLetter
100,如,ha2middle,ha2Left_right
1000,,ha2difficult,ha2mixture
1000,×,CSymbol,CSymbol
200,×,CSymbol,CSymbol
100,宜,ha2middle,ha2Top_bottom
600,B,CLetter,CLetter
200,中,ha2easy,ha2mixture
600,我,ha2middle,ha2mixture
800,×,CSymbol,CSymbol
400,B,CLetter,CLetter
400,中,ha2easy,ha2mixture
800,B,CLetter,CLetter
100,蜜,ha2difficult,ha2Top_bottom
200,宜,ha2middle,ha2Top_bottom
50,M,CLetter,CLetter
1000,＆,CSymbol,CSymbol
400,橘,ha2difficult,ha2Left_right
100,×,CSymbol,CSymbol
600,S,CLetter,CLetter
600,宜,ha2middle,ha2Top_bottom
400,＠,CSymbol,CSymbol
50,×,CSymbol,CSymbol
600,中,ha2easy,ha2mixture
800,,ha2difficult,ha2mixture
800,中,ha2easy,ha2mixture
800,如,ha2middle,ha2Left_right
100,M,CLetter,CLetter
1000,B,CLetter,CLetter
200,M,CLetter,CLetter
200,,ha2difficult,ha2mixture
100,,ha2difficult,ha2mixture
200,＠,CSymbol,CSymbol
200,橘,ha2difficult,ha2Left_right
800,蜜,ha2difficult,ha2Top_bottom
400,S,CLetter,CLetter
50,我,ha2middle,ha2mixture
1000,蜜,ha2difficult,ha2Top_bottom
200,S,CLetter,CLetter
100,之,ha2easy,ha2Top_bottom
1000,S,CLetter,CLetter
600,,ha2difficult,ha2mixture
800,＆,CSymbol,CSymbol
800,橘,ha2difficult,ha2Left_right
800,宜,ha2middle,ha2Top_bottom
600,＠,CSymbol,CSymbol
600,橘,ha2difficult,ha2Left_right
1000,如,ha2middle,ha2Left_right
100,B,CLetter,CLetter
600,之,ha2easy,ha2Top_bottom
50,如,ha2middle,ha2Left_right
50,蜜,ha2difficult,ha2Top_bottom
400,蜜,ha2difficult,ha2Top_bottom
200,＆,CSymbol,CSymbol
100,人,ha2easy,ha2Left_right
800,之,ha2easy,ha2Top_bottom
50,S,CLetter,CLetter
100,＠,CSymbol,CSymbol
400,M,CLetter,CLetter
200,我,ha2middle,ha2mixture
1000,人,ha2easy,ha2Left_right
200,如,ha2middle,ha2Left_right
400,,ha2difficult,ha2mixture
400,×,CSymbol,CSymbol
800,S,CLetter,CLetter
100,中,ha2easy,ha2mixture
1000,中,ha2easy,ha2mixture
800,我,ha2middle,ha2mixture
600,人,ha2easy,ha2Left_right
1000,我,ha2middle,ha2mixture
50,B,CLetter,CLetter
1000,之,ha2easy,ha2Top_bottom
1000,橘,ha2difficult,ha2Left_right
50,＠,CSymbol,CSymbol
600,如,ha2middle,ha2Left_right
400,我,ha2middle,ha2mixture
100,我,ha2middle,ha2mixture
600,＆,CSymbol,CSymbol
1000,＠,CSymbol,CSymbol
800,M,CLetter,CLetter
200,蜜,ha2difficult,ha2Top_bottom
100,橘,ha2difficult,ha2Left_right
400,之,ha2easy,ha2Top_bottom
100,＆,CSymbol,CSymbol
50,之,ha2easy,ha2Top_bottom
1000,宜,ha2middle,ha2Top_bottom
50,＆,CSymbol,CSymbol
100,S,CLetter,CLetter
50,中,ha2easy,ha2mixture
600,×,CSymbol,CSymbol
400,人,ha2easy,ha2Left_right
50,人,ha2easy,ha2Left_right
600,蜜,ha2difficult,ha2Top_bottom
